chr	start	end	gene_name	gene_tss	strand	distance	score	label
chr1	25933351	25933954	MTFR1L	25818640	+	113747	-0.0064848498873765	0
chr1	25933351	25933954	NUDC	26900238	+	988069	-0.0846214098812692	1
chr1	25933351	25933954	SH3BGRL3	26279176	+	346069	0.020197235465272	0
chr1	25933351	25933954	STMN1	25906990	-	27150	-0.122234975903461	1
chr1	25933351	25933954	TMEM50A	25337917	+	595355	0.0047429883376226	0
chr1	25933351	25933954	ZNF593	26169871	+	236244	-0.0533850085025994	0
chr1	26104576	26105524	HMGN2	26472450	+	367360	0.0033679307568128	0
chr1	26104576	26105524	NUDC	26900238	+	816671	0.0055926999674884	0
chr1	26104576	26105524	STMN1	25906990	-	198548	0.006493014446093	0
chr1	26104576	26105524	ZNF593	26169871	+	64846	0.0059309783291399	0
chr1	26138425	26139455	HMGN2	26472450	+	333470	-0.0246668445660695	0
chr1	26138425	26139455	NUDC	26900238	+	782781	-0.0122847345423643	0
chr1	26138425	26139455	STMN1	25906990	-	232438	-0.048880191557692	0
chr1	26138425	26139455	TMEM50A	25337917	+	800643	-0.026970835315552	0
chr1	26376717	26377217	HMGN2	26472450	+	95443	-0.0114924135593221	0
chr1	26376717	26377217	STMN1	25906990	-	470465	-0.0285515666708114	0
chr1	26376717	26377217	ZNF593	26169871	+	207071	-0.0232835830751177	0
chr1	26377523	26378866	HMGN2	26472450	+	94216	-0.0373212482517463	0
chr1	26377523	26378866	LIN28A	26410778	+	32573	-0.0517160214575402	1
chr1	26377523	26378866	NUDC	26900238	+	543527	-0.0504340907247872	0
chr1	26377523	26378866	SH3BGRL3	26279176	+	98473	-0.019575055018511	0
chr1	26377523	26378866	STMN1	25906990	-	471692	-0.0287327954318133	0
chr1	26377523	26378866	ZNF593	26169871	+	208298	-0.0271391572637626	0
chr1	26500769	26501550	HMGN2	26472450	+	28749	-0.0123007230462849	0
chr1	26500769	26501550	WASF2	27490157	-	989028	-0.0007254165571716	0
chr1	26500769	26501550	ZNF593	26169871	+	331263	-0.0255139815487825	0
chr1	26508328	26508828	MTFR1L	25818640	+	688673	-0.0153654748854646	0
chr1	26508328	26508828	STMN1	25906990	-	602076	-0.0292710654403272	0
chr1	26508328	26508828	WASF2	27490157	-	981609	0.0213808360486973	0
chr1	26584065	26584565	NUDC	26900238	+	337406	-0.0392311696542753	0
chr1	26584065	26584565	SH3BGRL3	26279176	+	304594	-0.0047764465728281	0
chr1	26584065	26584565	STMN1	25906990	-	677813	-0.0222128264404433	0
chr1	26584065	26584565	WASF2	27490157	-	905872	-0.0209439436533574	0
chr1	26619808	26621780	PIGV	26787472	+	167168	0.0195758287183185	0
chr1	26619808	26621780	STMN1	25906990	-	714292	-0.0307898760802311	0
chr1	26636453	26637096	NUDC	26900238	+	284947	-0.0347385394278913	0
chr1	26636453	26637096	STMN1	25906990	-	730272	-0.0259802907879243	0
chr1	26636453	26637096	WASF2	27490157	-	853413	-0.0475885714517285	0
chr1	26686869	26687369	NUDC	26900238	+	234602	-0.0214225543822321	0
chr1	26783944	26784444	HMGN2	26472450	+	311784	-0.0086717470319259	0
chr1	26783944	26784444	NUDC	26900238	+	137527	-0.0689245155798701	0
chr1	27026948	27028368	HMGN2	26472450	+	555248	-0.0060600311971575	0
chr1	27026948	27028368	NUDC	26900238	+	105937	-0.0431858320833267	0
chr1	27026948	27028368	PPP1R8	27830778	+	803155	0.0092018083519467	0
chr1	27026948	27028368	SH3BGRL3	26279176	+	747937	0.0227807005069847	0
chr1	27026948	27028368	TMEM222	27322145	+	294486	-0.000435019757239	0
chr1	27026948	27028368	WASF2	27490157	-	462529	0.0230889349098651	0
chr1	27026948	27028368	ZNF593	26169871	+	857762	-0.0187042497319034	0
chr1	27074115	27074615	ZNF593	26169871	+	904469	-0.006884259444762	0
chr1	27523007	27523999	ATPIF1	28236109	+	712587	-0.0376420792308344	0
chr1	27523007	27523999	NUDC	26900238	+	601782	-0.0623371305570988	0
chr1	27523007	27523999	PPP1R8	27830778	+	307310	-0.0277426887959426	0
chr1	27523007	27523999	WASF2	27490157	-	33316	0.0124083499153043	0
chr1	27608544	27609044	DNAJC8	28233024	-	624237	-0.0204277142499368	0
chr1	27867738	27868238	ATPIF1	28236109	+	368102	-0.0043843626726515	0
chr1	27867738	27868238	DNAJC8	28233024	-	365043	-0.0023320927918663	0
chr1	27869198	27869698	ATPIF1	28236109	+	366642	-0.0110253001547018	0
chr1	27869198	27869698	PPP1R8	27830778	+	38635	-0.0031563316199478	0
chr1	27869198	27869698	RCC1	28505943	+	648784	0.0039664851742924	0
chr1	27869198	27869698	WASF2	27490157	-	379261	-0.0239918805174523	0
chr1	28105018	28105518	YTHDF2	28736621	+	631355	0.0074799229850452	0
chr1	28112667	28113483	ATPIF1	28236109	+	123015	-0.0293979725577864	0
chr1	28112667	28113483	RCC1	28505943	+	405157	0.0036696331960563	0
chr1	28112667	28113483	WASF2	27490157	-	622888	-0.0026718450068647	0
chr1	28249311	28250231	ATPIF1	28236109	+	13681	-0.0459219496020033	0
chr1	28249311	28250231	DNAJC8	28233024	-	16740	-0.0252516147083142	0
chr1	28249311	28250231	EPB41	28887091	+	637319	-0.0033497887169637	0
chr1	28249311	28250231	RPA2	27914745	-	334974	0.0236148243624001	0
chr1	28249311	28250231	SRSF4	29181986	-	932354	-0.0172918598401912	0
chr1	28249311	28250231	TAF12	28643084	-	393321	-0.0304032225899143	0
chr1	28249311	28250231	WASF2	27490157	-	759584	-0.0287406910531854	0
chr1	28249311	28250231	YTHDF2	28736621	+	486852	-0.0310224103245492	0
chr1	28345727	28346629	ATPIF1	28236109	+	110088	-0.0094420576366762	0
chr1	28345727	28346629	DNAJC8	28233024	-	113147	-0.0443002397563027	0
chr1	28345727	28346629	WASF2	27490157	-	855991	0.0059505163030058	0
chr1	28351509	28352009	ATPIF1	28236109	+	115669	-0.0330837995764007	0
chr1	28351509	28352009	DNAJC8	28233024	-	118728	-0.0629089647225138	0
chr1	28351509	28352009	EPB41	28887091	+	535331	0.0135442441842557	0
chr1	28351509	28352009	SRSF4	29181986	-	830366	-0.0618266361171507	0
chr1	28351509	28352009	TAF12	28643084	-	291333	0.0039997375911358	0
chr1	28351509	28352009	YTHDF2	28736621	+	384864	0.0156888116733049	0
chr1	28352119	28352734	ATPIF1	28236109	+	116336	-0.0167865870192623	0
chr1	28352119	28352734	DNAJC8	28233024	-	119395	-0.0140881932185032	0
chr1	28352119	28352734	EPB41	28887091	+	534664	-0.002022480446587	0
chr1	28352119	28352734	RCC1	28505943	+	165806	0.0095876523407025	0
chr1	28352119	28352734	SRSF4	29181986	-	829699	-0.0387890242346531	0
chr1	28352119	28352734	TAF12	28643084	-	290666	0.0097400222666583	0
chr1	28352119	28352734	WASF2	27490157	-	862239	-0.0128284702756849	0
chr1	28352119	28352734	YTHDF2	28736621	+	384197	-0.0319528221414974	0
chr1	28883765	28884265	ATPIF1	28236109	+	647925	-0.0324876154378352	0
chr1	28883765	28884265	DNAJC8	28233024	-	650984	-0.0343295937745121	0
chr1	28883765	28884265	EPB41	28887091	+	3075	-0.265214197716918	1
chr1	28883765	28884265	MECR	29230941	-	346943	-0.0088425324835141	0
chr1	28883765	28884265	RCC1	28505943	+	365783	-0.0011364006555858	0
chr1	28883765	28884265	RPA2	27914745	-	969218	-0.0107378274480854	0
chr1	28883765	28884265	SRSF4	29181986	-	298110	-0.0412111504371772	0
chr1	28883765	28884265	TAF12	28643084	-	240923	-0.0085210627466707	0
chr1	28883765	28884265	YTHDF2	28736621	+	147392	-0.0208447925140457	0
chr1	28884388	28885427	ATPIF1	28236109	+	648817	-0.0280696603454558	0
chr1	28884388	28885427	DNAJC8	28233024	-	651876	0.012374869935021	0
chr1	28884388	28885427	EPB41	28887091	+	2183	-0.199432411592418	1
chr1	28884388	28885427	RCC1	28505943	+	366675	-0.0243534105518063	0
chr1	28884388	28885427	RPA2	27914745	-	970110	0.0114815737598895	0
chr1	28884388	28885427	SRSF4	29181986	-	297218	-0.0111788502959006	0
chr1	28884388	28885427	TAF12	28643084	-	241815	0.0057848634832404	0
chr1	28884388	28885427	TRNAU1AP	28553085	+	331891	-0.0128568384387935	0
chr1	28884388	28885427	YTHDF2	28736621	+	148284	0.0199308197049479	0
chr1	30768857	30769473	SNRNP40	31296781	-	527632	0.001378746362916	0
chr1	30768857	30769473	ZCCHC17	31296982	+	527816	-0.0316127201448669	0
chr1	30777391	30778865	ZCCHC17	31296982	+	518853	-0.012463606862935	0
chr1	30779405	30780013	ZCCHC17	31296982	+	517272	-0.0263679891461159	0
chr1	31072347	31073139	SNRNP40	31296781	-	224054	-0.0095917137587628	0
chr1	31100446	31101535	KHDRBS1	32013829	+	912703	0.0243294644431278	0
chr1	31100446	31101535	PTP4A2	31944855	-	818668	-0.023822113128134	0
chr1	31100446	31101535	SNRNP40	31296781	-	195807	-0.0597291033513172	0
chr1	31154524	31155711	KHDRBS1	32013829	+	858576	-0.0073812856132045	0
chr1	31154524	31155711	PTP4A2	31944855	-	764541	0.0242098043834884	0
chr1	31159762	31160262	KHDRBS1	32013829	+	853681	-0.0082517996728673	0
chr1	31159762	31160262	PTP4A2	31944855	-	759646	0.0163014208112109	0
chr1	31159762	31160262	SNRNP40	31296781	-	136785	-0.0258458866767239	0
chr1	31170602	31171274	PTP4A2	31944855	-	748720	0.0214121878221227	0
chr1	31172173	31172673	PTP4A2	31944855	-	747235	0.0083279149431956	0
chr1	31394571	31395186	EIF3I	32221928	+	826705	-0.0352206860366033	0
chr1	31394571	31395186	HDAC1	32292086	+	897228	-0.0233722088162215	0
chr1	31394571	31395186	KHDRBS1	32013829	+	618815	0.0071772445472675	0
chr1	31394571	31395186	PTP4A2	31944855	-	524780	-0.0027139253363215	0
chr1	31394571	31395186	SNRNP40	31296781	-	98081	-0.0001126720392539	0
chr1	31394571	31395186	ZCCHC17	31296982	+	97897	-0.0125069775172075	0
chr1	31826818	31827761	BSDC1	32394730	-	567172	-0.0018564227532846	0
chr1	31826818	31827761	KHDRBS1	32013829	+	186404	-0.0050730340213446	0
chr1	31826818	31827761	MARCKSL1	32336378	-	508950	0.0077378785305217	0
chr1	31826818	31827761	PTP4A2	31944855	-	92369	0.0024237886852265	0
chr1	31826818	31827761	RBBP4	32651142	+	823858	0.0162145862746543	0
chr1	31826818	31827761	SNRNP40	31296781	-	530492	-0.0220263768134617	0
chr1	31826818	31827761	YARS	32818152	+	990743	0.014507911806656	0
chr1	31826818	31827761	ZCCHC17	31296982	+	530308	0.0104047382332564	0
chr1	31954553	31955764	EIF3I	32221928	+	266425	-0.0419205250845933	0
chr1	31954553	31955764	KHDRBS1	32013829	+	58535	-0.0126440570105266	0
chr1	31954553	31955764	MARCKSL1	32336378	-	381081	-0.0294284652471793	0
chr1	31954553	31955764	PTP4A2	31944855	-	35500	-0.0666084714008376	0
chr1	31954553	31955764	ZBTB8OS	32650902	-	695432	-0.0075706576467231	0
chr1	31955934	31956777	PTP4A2	31944855	-	36697	-0.0612290221576284	0
chr1	31957624	31958294	EIF3I	32221928	+	263624	-0.0260097398293523	0
chr1	31957624	31958294	HDAC1	32292086	+	334147	-0.001815595374525	0
chr1	31957624	31958294	KHDRBS1	32013829	+	55734	0.0182905018225061	0
chr1	31957624	31958294	MARCKSL1	32336378	-	378280	-0.0101404372020653	0
chr1	31957624	31958294	PTP4A2	31944855	-	38301	-0.0208066759502308	0
chr1	31957624	31958294	RBBP4	32651142	+	693188	-0.0108475973303157	0
chr1	31957624	31958294	SNRNP40	31296781	-	661162	-0.032447531056403	0
chr1	31957624	31958294	ZCCHC17	31296982	+	660978	-0.0091573030859286	0
chr1	32399795	32400295	EIF3I	32221928	+	178462	-0.0049585994464059	0
chr1	32399795	32400295	HDAC1	32292086	+	107939	-0.0272734811188986	0
chr1	32413620	32414378	PTP4A2	31944855	-	494341	0.0244697856650471	0
chr1	32448231	32449577	AK2	33080995	-	588007	-0.0412190641312595	0
chr1	32448231	32449577	EIF3I	32221928	+	227321	-0.0016952108556391	0
chr1	32448231	32449577	KHDRBS1	32013829	+	435211	-0.0303479118028107	0
chr1	32448231	32449577	RBBP4	32651142	+	202243	0.030819738968132	0
chr1	33462417	33462917	AK2	33080995	-	425756	-0.0459481593047815	0
chr1	33462417	33462917	RBBP4	32651142	+	811520	0.051327383687958	0
chr1	33462417	33462917	YARS	32818152	+	644635	-0.0007700629922958	0
chr1	34378837	34379337	SFPQ	35193147	-	814058	-0.0211636322244408	0
chr1	34662944	34663444	SFPQ	35193147	-	529951	-0.0181837533929223	0
chr1	34662944	34663444	SMIM12	34859815	-	196622	0.0018214178644571	0
chr1	35673871	35674539	MRPS15	36464436	-	790234	-0.0275114127660747	0
chr1	35673871	35674539	PSMB2	35641843	-	32361	-0.0119747758997494	0
chr1	36411834	36412334	CLSPN	35769966	-	642134	-0.0238042540680643	0
chr1	36411834	36412334	MRPS15	36464436	-	52355	0.0100761027713601	0
chr1	36411834	36412334	THRAP3	36224416	+	187673	0.009788403948618	0
chr1	36411834	36412334	TRAPPC3	36156052	-	262570	-0.0102885233291431	0
chr1	36492528	36493028	LSM10	36397891	-	94819	-0.0627021165417722	0
chr1	36492528	36493028	MRPS15	36464436	-	28339	-0.0554559317288815	0
chr1	36492528	36493028	PSMB2	35641843	-	850934	-0.0008241102486763	0
chr1	36492528	36493028	TRAPPC3	36156052	-	343264	-0.0216076580115183	0
chr1	38308702	38309202	AKIRIN1	38991223	+	682291	-0.0372650142757409	0
chr1	38418409	38418909	GNL2	37595934	-	822674	0.0013157974409385	0
chr1	38418409	38418909	MEAF6	37514773	-	903840	0.0178665470543049	0
chr1	38508251	38508751	MEAF6	37514773	-	993682	-0.0262123766413631	0
chr1	38508251	38508751	NDUFS5	39026318	+	517793	-0.0137189908469049	0
chr1	38523473	38524414	C1orf122	37806979	+	716143	-0.0091523615739939	0
chr1	38523473	38524414	NDUFS5	39026318	+	502351	-0.0643510766316846	0
chr1	38525695	38526510	C1orf122	37806979	+	718302	-0.0344177344425244	0
chr1	38525695	38526510	FHL3	38005605	-	520587	-0.0067807250743643	0
chr1	38525695	38526510	NDUFS5	39026318	+	500192	-0.0332621423031588	0
chr1	38525695	38526510	UTP11	38009258	+	513391	-0.0284233064262062	0
chr1	38525695	38526510	YRDC	37808184	-	717909	-0.0326339511139937	0
chr1	38527597	38528097	NDUFS5	39026318	+	498447	-0.0434773483317116	0
chr1	38533857	38534357	UTP11	38009258	+	521396	-0.0328730106960798	0
chr1	38745382	38746585	AKIRIN1	38991223	+	245260	-0.0334120369307669	0
chr1	38745382	38746585	C1orf122	37806979	+	938183	-0.0416462079020119	0
chr1	38745382	38746585	FHL3	38005605	-	740468	0.0105943383477976	0
chr1	38745382	38746585	NDUFS5	39026318	+	280311	-0.0375167674556127	0
chr1	38745382	38746585	PABPC4	39576789	-	830866	-0.0155697503878439	0
chr1	38745382	38746585	PPIE	39692182	+	992861	-0.0308839495928376	0
chr1	38745382	38746585	SF3A3	37990920	-	755873	-0.0358820652452428	0
chr1	38745382	38746585	UTP11	38009258	+	733272	-0.0242519396035145	0
chr1	38745382	38746585	YRDC	37808184	-	937790	-0.0313530670815969	0
chr1	38773413	38773913	AKIRIN1	38991223	+	217580	0.0256696378872532	0
chr1	38773413	38773913	C1orf122	37806979	+	965863	-0.0186569977493321	0
chr1	38773413	38773913	NDUFS5	39026318	+	252631	-0.0302107334455373	0
chr1	38773413	38773913	PPIE	39692182	+	965181	-0.00499896463015	0
chr1	38773413	38773913	UTP11	38009258	+	760952	-0.0142773771186928	0
chr1	38777548	38778445	PPIE	39692182	+	960848	-0.0530474711918227	0
chr1	38783577	38784890	NDUFS5	39026318	+	242061	-0.0333073382798655	0
chr1	38783577	38784890	PABPC4	39576789	-	792616	0.0243888399921091	0
chr1	38783577	38784890	PPIE	39692182	+	954611	-0.0089342596629325	0
chr1	38785583	38786509	NDUFS5	39026318	+	240248	0.0001723888190705	0
chr1	38785583	38786509	PABPC4	39576789	-	790803	0.0069549163496474	0
chr1	39605902	39606605	CAP1	40040233	+	434329	-0.0185455686419288	0
chr1	39605902	39606605	NDUFS5	39026318	+	579959	-0.0506733025906811	0
chr1	39892582	39893618	AKIRIN1	38991223	+	901857	0.0128839174955901	0
chr1	39892582	39893618	CAP1	40040233	+	147482	-0.0218190611991114	0
chr1	39892582	39893618	NDUFS5	39026318	+	866806	-0.0226942945211609	0
chr1	39892582	39893618	PABPC4	39576789	-	316251	0.0457107340144405	0
chr1	39892582	39893618	PPIE	39692182	+	154256	-0.0212299333213918	0
chr1	39892582	39893618	PPT1	40097702	-	204370	0.0052826858944934	0
chr1	39952543	39953043	NDUFS5	39026318	+	926499	-0.0148519678439989	0
chr1	40036551	40037051	CAP1	40040233	+	3781	-0.0101772974049131	0
chr1	40036551	40037051	NFYC	40691648	+	654768	0.0216172469918245	0
chr1	40974649	40975371	SMAP2	40344850	+	601305	-0.015061021566968	0
chr1	43005581	43006323	ATP6V0B	43974487	+	968695	-0.0327269256819697	0
chr1	43005581	43006323	DPH2	43970000	+	964028	0.0083087244779347	0
chr1	43005581	43006323	EBNA1BP2	43270935	-	166363	-0.0779560993553832	0
chr1	43044748	43045248	ATP6V0B	43974487	+	929649	-0.0603002398628246	0
chr1	43044748	43045248	EBNA1BP2	43270935	-	127317	-0.0300292612538937	0
chr1	43044748	43045248	ERMAP	42817124	+	219421	-0.0061775303937694	0
chr1	43044748	43045248	MED8	43389807	-	344814	-0.0191193566811463	0
chr1	43044748	43045248	PPIH	42658425	+	386622	-0.0415829879279005	0
chr1	43044748	43045248	SVBP	42817251	-	227610	0.016727981911737	0
chr1	43044748	43045248	YBX1	42682427	+	362764	-0.0198935315299752	0
chr1	43120356	43120856	ATP6V0B	43974487	+	854041	-0.0116826622984541	0
chr1	43120356	43120856	YBX1	42682427	+	438372	-0.0232645263987859	0
chr1	43330148	43330648	EBNA1BP2	43270935	-	158083	-0.0578196262373991	0
chr1	43330148	43330648	SVBP	42817251	-	513010	-0.0148216569619481	0
chr1	43330148	43330648	YBX1	42682427	+	648164	-0.0593714542258026	0
chr1	43522703	43523574	YBX1	42682427	+	840904	-0.0298051955319147	0
chr1	44729192	44729692	AKR1A1	45550543	+	821340	0.00308458442577	0
chr1	44729192	44729692	EIF2B3	44986721	-	257280	0.0108314519470651	0
chr1	45574036	45574769	PRDX1	45523046	-	52464	-0.0376703193869539	0
chr1	45574036	45574769	RPS8	44775251	+	798829	0.0342301838593049	0
chr1	45574036	45574769	UQCRH	46303631	+	729210	0.0009295423343556	0
chr1	45574036	45574769	UROD	45012147	+	562270	-0.0109663653051839	0
chr1	45753369	45753869	PRDX1	45523046	-	231681	-0.066983195155033	0
chr1	45753369	45753869	RPS8	44775251	+	978046	0.0529106810534037	0
chr1	45753369	45753869	UQCRH	46303631	+	549993	0.0143932503222057	0
chr1	45753369	45753869	UROD	45012147	+	741487	-0.0203055719793528	0
chr1	46244926	46245636	UQCRH	46303631	+	58331	0.0225812128613283	0
chr1	46420081	46420880	NASP	45583846	+	836493	-0.0286705756672425	0
chr1	46420081	46420880	PRDX1	45523046	-	898542	-0.0143201729925313	0
chr1	46420081	46420880	TMEM69	45687214	+	732306	0.0106795266027366	0
chr1	46420081	46420880	UQCRH	46303631	+	116868	0.0091903310766272	0
chr1	46421693	46422193	CMPK1	47333797	+	911853	-0.0006077827935535	0
chr1	46421693	46422193	GPBP1L1	45688112	-	735313	-0.013718871334223	0
chr1	46421693	46422193	PRDX1	45523046	-	900005	-0.0398645489272959	0
chr1	46421693	46422193	UQCRH	46303631	+	118331	-0.0156608218260364	0
chr1	46487761	46488261	PRDX1	45523046	-	966073	0.0019029835382025	0
chr1	46522169	46522839	PDZK1IP1	47191043	-	667595	0.010174407026057	0
chr1	46535744	46536244	CMPK1	47333797	+	797802	-0.0149129342464753	0
chr1	46535744	46536244	NASP	45583846	+	952007	-0.0297708158332004	0
chr1	46535744	46536244	UQCRH	46303631	+	232382	0.012112134953203	0
chr1	47193925	47194762	UQCRH	46303631	+	890731	-0.0281753684289331	0
chr1	47211816	47212316	CMPK1	47333797	+	121730	0.0058571885949698	0
chr1	47211816	47212316	UQCRH	46303631	+	908454	0.0067583100814718	0
chr1	47212995	47213744	CMPK1	47333797	+	120427	-0.0002743709390558	0
chr1	47212995	47213744	UQCRH	46303631	+	909757	0.0151195356565341	0
chr1	47241617	47242117	UQCRH	46303631	+	938255	-0.0040379004609372	0
chr1	50976328	50979858	CDKN2C	50960745	+	9399	-0.0339844591810934	0
chr1	50976328	50979858	EPS15	51519327	-	541230	0.0088263329710447	0
chr1	50976328	50979858	FAF1	50960262	-	17829	-0.0098490940565715	0
chr1	50976328	50979858	NRDC	51878936	-	900844	-0.0292582234348042	0
chr1	50976328	50979858	OSBPL9	51577179	+	638780	-0.0098950655266564	0
chr1	51283949	51284926	BTF3L4	52056125	+	771747	0.0554764683860998	0
chr1	51896789	51897289	BTF3L4	52056125	+	159145	0.0069934145994094	0
chr1	51896789	51897289	NRDC	51878936	-	18102	-0.0229608898845406	0
chr1	51896789	51897289	PRPF38A	52404564	+	507507	-0.0079165448330278	0
chr1	52613563	52614512	BTF3L4	52056125	+	557853	-0.0158197162528607	0
chr1	52674680	52675532	BTF3L4	52056125	+	618922	0.0400495570285739	0
chr1	52674680	52675532	MAGOH	53238609	-	563504	-0.0295695268400739	0
chr1	52674680	52675532	NRDC	51878936	-	796169	0.0107599972241354	0
chr1	52674680	52675532	PRPF38A	52404564	+	270560	0.0344288261377945	0
chr1	52674680	52675532	SCP2	52927229	+	252122	0.0120071869769716	0
chr1	52674680	52675532	ZCCHC11	52553486	+	122016	-0.0031654325408277	0
chr1	53392162	53392662	MRPL37	54184041	+	807754	-0.0100596396767983	0
chr1	54463184	54463684	MRPL37	54184041	+	263268	-0.016272275187028	0
chr1	54463184	54463684	TMEM59	54053503	-	409996	0.0231820025252152	0
chr1	54464352	54465028	HSPB11	53945928	+	518867	-0.0117262977783463	0
chr1	54487818	54488736	HSPB11	53945928	+	542454	-0.0241735200142512	0
chr1	54487818	54488736	MRPL37	54184041	+	288111	0.0027862398251043	0
chr1	54487818	54488736	TMEM59	54053503	-	434839	-0.0395391737096008	0
chr1	54489182	54489816	MRPL37	54184041	+	289333	-0.0063030098248274	0
chr1	55022000	55022500	TMEM59	54053503	-	968812	-0.0150303976169865	0
chr1	65687450	65688338	LEPROT	65420587	+	267447	0.0358847472287409	0
chr1	67431689	67432564	SERBP1	67430414	-	1686	-0.0329749485699713	0
chr1	67479062	67479777	GADD45A	67685061	+	205757	-0.0246659798052533	0
chr1	67479062	67479777	SERBP1	67430414	-	48979	-0.0309326346452263	0
chr1	67538903	67540091	SERBP1	67430414	-	109057	0.0242244243782277	0
chr1	67570358	67570858	SERBP1	67430414	-	140168	-0.0349304292812437	0
chr1	67682485	67683200	GADD45A	67685061	+	2334	-0.0804271540076778	1
chr1	67682485	67683200	SERBP1	67430414	-	252402	-0.0293221169878816	0
chr1	70674818	70676268	PTGER3	71047807	-	372265	-0.0720910865246828	1
chr1	70674818	70676268	SRSF11	70205682	+	469862	0.0059678159967573	0
chr1	75672413	75673255	TYW3	74733152	+	939679	0.0122577425076837	0
chr1	84619227	84619727	GNG5	84506564	-	112898	0.0162269693312871	0
chr1	85219916	85220707	GNG5	84506564	-	713732	-0.0004262025542769	0
chr1	85224598	85225505	C1orf52	85259671	-	34621	-0.0113191714486002	0
chr1	85224598	85225505	GNG5	84506564	-	718472	-0.0094543525154756	0
chr1	85224598	85225505	RPF1	84479259	+	745815	0.0024994853189999	0
chr1	85224598	85225505	SSX2IP	84690802	-	534494	-0.0080299683404247	0
chr1	86461472	86462059	SELENOF	86914423	-	452600	-0.0199121730432301	0
chr1	86774209	86775355	SELENOF	86914423	-	139583	-0.0326243329576647	0
chr1	86774209	86775355	SH3GLB1	86704570	+	70213	0.0121982906205944	0
chr1	87826390	87827059	SELENOF	86914423	-	912359	-0.0144373909931018	0
chr1	92990780	92991280	RPL5	92832025	+	158994	0.104609548621192	0
chr1	93042269	93042990	RPL5	92832025	+	210593	0.0678911858786913	0
chr1	95084201	95084944	TMEM56	95117338	+	32765	-0.121579208908826	1
chr1	95085335	95085835	TMEM56	95117338	+	31752	-0.232876715711768	1
chr1	95086848	95087635	TMEM56	95117338	+	30096	-0.0941626684501351	1
